place,lat,lon
서울,37.5665,126.978
서울특별시,37.5665,126.978
인천,37.4563,126.7052
인천광역시,37.4563,126.7052
대구,35.8714,128.6014
대구광역시,35.8714,128.6014
부산,35.1796,129.0756
부산광역시,35.1796,129.0756
대전,36.3504,127.3845
대전광역시,36.3504,127.3845
광주,35.1595,126.8526
광주광역시,35.1595,126.8526
울산,35.5384,129.3114
울산광역시,35.5384,129.3114
세종,36.4801,127.289
세종특별자치시,36.4801,127.289
수원,37.2636,127.0286
성남,37.42,127.1265
고양,37.6584,126.832
용인,37.2411,127.1776
안양,37.3943,126.9568
부천,37.5036,126.766
화성,37.1996,126.8313
청주,36.6424,127.489
전주,35.8242,127.148
창원,35.2285,128.6811
제주,33.4996,126.5312
제주시,33.4996,126.5312
